,,,Auto,Auto,Teleop,Teleop,Teleop,Teleop,,
Team Number,Match,Position,SHOOTING,L1,SHOOTING,L1,L2,L3,Score,Notes
"4,590",28,B3,0,0,63.49125526,0,0,0,63.49125526,
"5,549",28,R1,50.57466463,0,193.9307023,0,0,0,244.5053669,
"3,256",28,B1,79.17012356,0,118.8710146,0,0,0,198.0411381,
"3,276",28,R3,0,0,6.727454902,0,0,0,6.727454902,
"9,450",28,R2,21.42533537,0,133.3418428,0,0,0,154.7671782,
"1,884",29,B2,0,0,0,0,0,0,2,"on ball but got off by thrmselves, bent in the middle"
"3,966",29,R1,17.54864005,0,154.571771,0,0,0,172.1204111,
"2,910",29,B3,0,0,405,0,0,0,405,
"1,884",29,B2,0,0,0,0,0,0,2,
"9,067",29,R3,12.44684232,0,103.0505772,0,0,0,115.4974195,
"2,996",29,R2,26.00451764,0,157.3776518,0,0,0,183.3821694,
"10,553",30,B2,4.534379355,0,0,0,0,0,4.534379355,
868,30,R1,41.66234318,0,183.7194607,0,0,0,225.3818039,
"9,128",30,B3,108.6046882,0,207.7971903,0,0,0,316.4018785,
"4,099",30,B2,37.86093242,0,73.20280973,0,0,0,111.0637422,
818,30,R3,56.47921741,0,124.516445,10,0,0,190.9956624,
948,30,R2,4.858439418,0,7.764094317,0,0,0,12.62253373,
"1,902",31,B2,0,0,0,0,0,0,2,m
"6,988",31,R1,0,0,0,0,0,0,2,wheels misaligned. Bad defense
"9,029",31,B3,29.6605849,0,114.5301008,0,0,0,144.1906857,
930,31,B1,33.3394151,0,166.4698992,0,0,0,199.8093143,
"1,577",31,R2,29.20075541,0,82.04322191,0,0,0,111.2439773,
"4,206",31,R3,24.79924459,0,69.95677809,0,0,0,94.75602269,
"2,586",32,B2,17.41563306,0,24.42949594,10,0,0,51.845129,
424,32,R1,0,0,0,0,0,0,2,
233,32,B3,22.13491182,0,150.3394273,0,0,0,172.4743391,
"1,796",32,B1,55.44945512,0,190.2310768,0,0,0,245.6805319,died at the end? Stopped moving
"3,005",32,R3,66.27512587,0,66.0043381,0,0,0,132.279464,
"2,046",32,R2,7.724874133,0,251.9956619,0,0,0,259.720536,
"10,291",33,B2,10.67928172,0,93.51852787,0,0,0,104.1978096,
